"","elife_institution","THE_rank"
"3911","The University of Texas School of Public Health","Standard/Unranked/Unknown"
"3912","Picower Institute for Learning and Memory, Massachusetts Institute of Technology","Standard/Unranked/Unknown"
"3913","Mayo Clinic Arizona","Standard/Unranked/Unknown"
"3914","McCormick School of Engineering, Northwestern University","Standard/Unranked/Unknown"
"3915","McGovern Institute for Brain Research at Massachusetts Institute of Technology","Standard/Unranked/Unknown"
"3916","McLean Hospital","Standard/Unranked/Unknown"
"3917","McLean Hospital/Harvard Medical School","Standard/Unranked/Unknown"
"3918","MD Anderson Cancer Center","Standard/Unranked/Unknown"
"3919","MGH","Standard/Unranked/Unknown"
"3920","Moffett Cancer Center","Standard/Unranked/Unknown"
"3921","Moffitt Cancer Center","Standard/Unranked/Unknown"
"3922","Moran Eye Center, University of Utah","Standard/Unranked/Unknown"
"3923","Morgridge Institute for Research","Standard/Unranked/Unknown"
"3924","MSKCC","Standard/Unranked/Unknown"
"3925","National Cancer Institute, NIH","Standard/Unranked/Unknown"
"3926","National Center for Complementary and Integrative Health","Standard/Unranked/Unknown"
"3927","National Human Genome Research Institute","Standard/Unranked/Unknown"
"3928","National Institute of Allergy and Infectious Diseases, National Institutes of Health","Standard/Unranked/Unknown"
"3929","National Institute of Arthritis, Musculoskeletal and Skin Diseases, National Institutes of Health","Standard/Unranked/Unknown"
"3930","National Institute for Environmental Health Sciences, National Institutes of Health","Standard/Unranked/Unknown"
"3931","National Institute of Neurological Disorders and Stroke","Standard/Unranked/Unknown"
"3932","National Institute on Aging, National Institutes of Health","Standard/Unranked/Unknown"
"3933","National Institute on Deafness and Other Communication Disorders","Standard/Unranked/Unknown"
"3934","National Institute on Deafness and other Communication Disorders","Standard/Unranked/Unknown"
"3935","National Institute on Drug Abuse","Standard/Unranked/Unknown"
"3936","National Institutes of Allergy and Infectious Diseases","Standard/Unranked/Unknown"
"3937","Instituto de Neurobiologia, UNAM","Standard/Unranked/Unknown"
"3938","Neural Stem Cell Institute","Standard/Unranked/Unknown"
"3939","NIAID, NIH","Standard/Unranked/Unknown"
"3940","NIDA","Standard/Unranked/Unknown"
"3941","NIDDK, NIH","Standard/Unranked/Unknown"
"3942","NIH/NIAAA","Standard/Unranked/Unknown"
"3943","NIH/NINDS","Standard/Unranked/Unknown"
"3944","Niigata University of Pharmacy and Applied Life Sciences","Standard/Unranked/Unknown"
"3945","Oklahoma Medical Research Foundation","Standard/Unranked/Unknown"
"3946","OHSU","Standard/Unranked/Unknown"
"3947","Perelman School of Medicine, University of Pennsylvania","Standard/Unranked/Unknown"
"3948","Picower Institute for Learning and Memory","Standard/Unranked/Unknown"
"3949","Simons Foundation","Standard/Unranked/Unknown"
"3950","Rosalind Franklin University of Medicine and Science","Standard/Unranked/Unknown"
"3951","Roswell Park Cancer Institute","Standard/Unranked/Unknown"
"3952","Rutgers-Robert Wood Johnson Medical School","Standard/Unranked/Unknown"
"3953","Salk Institute","Standard/Unranked/Unknown"
"3954","SBP Medical Discovery Institute","Standard/Unranked/Unknown"
"3955","Sloan-Kettering Institute","Standard/Unranked/Unknown"
"3956","Southern Illinois University School of Medicine","Standard/Unranked/Unknown"
"3957","St jude Children's Research Hospital","Standard/Unranked/Unknown"
"3958","OIST Graduate University","Standard/Unranked/Unknown"
"3959","Kobe University Graduate School of Medicine","Standard/Unranked/Unknown"
"3960","Institute for Stem Cell Biology and Regenerative Medicine, Stanford University","Standard/Unranked/Unknown"
"3961","The College of William and Mary","Standard/Unranked/Unknown"
"3962","The Feinberg School of Medicine, Northwestern University","Standard/Unranked/Unknown"
"3963","The Feinstein Institute for Medical Research","Standard/Unranked/Unknown"
"3964","The John B. Pierce Laboratory, Inc.","Standard/Unranked/Unknown"
"3965","The Neurosciences Institute","Standard/Unranked/Unknown"
"3966","The Picower Institute for Learning and Memory, RIKEN-Massachusetts Institute of Technology Center for Neural Circuit Genetics, Massachusetts Institute of Technology","Standard/Unranked/Unknown"
"3967","The Scripps Research Institute, Scripps Florida","Standard/Unranked/Unknown"
"3968","The Scripps Research nstitute","Standard/Unranked/Unknown"
"3969","The University of Iowa, Carver College of Medicine","Standard/Unranked/Unknown"
"3970","UT MD Anderson Cancer Center","Standard/Unranked/Unknown"
"3971","U.C. Berkeley","Standard/Unranked/Unknown"
"3972","Uniformed Services University of the Health Sciences","Standard/Unranked/Unknown"
"3973","United States Department of Veterans Affairs","Standard/Unranked/Unknown"
"3974","Univeristy of Minnesota","Standard/Unranked/Unknown"
"3975","The Jan and Dan Duncan Neurological Research Institute at Texas Children's Hospital","Standard/Unranked/Unknown"
"3976","J. Craig Venter Institute","Standard/Unranked/Unknown"
"3977","University of Iowa Children's Hospital","Standard/Unranked/Unknown"
"3978","University of Iowa Hospitals and Clinics","Standard/Unranked/Unknown"
"3979","SMassachusetts Institute of Technologyhsonian Institution","Standard/Unranked/Unknown"
"3980","University of Memphis","Standard/Unranked/Unknown"
"3981","University of Missouri-St. Louis","Standard/Unranked/Unknown"
"3982","University of New Hampshire","Standard/Unranked/Unknown"
"3983","University of Oklahoma Health Science Center","Standard/Unranked/Unknown"
"3984","Azusa Pacific University","Standard/Unranked/Unknown"
"3985","Roche Pharmaceutical Research and Early Development (pRED)","Standard/Unranked/Unknown"
"3986","University of Iowa, Carver College of Medicine","Standard/Unranked/Unknown"
"3987","US Department of Agriculture-Agriculture Research Service","Standard/Unranked/Unknown"
"3988","UTHSCSA","Standard/Unranked/Unknown"
"3989","Van Andel Research Institute","Standard/Unranked/Unknown"
"3990","Virginia Commonwealth University","Standard/Unranked/Unknown"
"3991","Virginia Commonwealth University School of Medicine","Standard/Unranked/Unknown"
"3992","Hunter College, City University of New York","Standard/Unranked/Unknown"
"3993","Weill Medical College of Cornell University","Standard/Unranked/Unknown"
"3994","New Jersey Medical School, Rutgers, the State University of New Jersey","Standard/Unranked/Unknown"
"3995","Western University of Health Sciences","Standard/Unranked/Unknown"
"3996","Whitehead Institute, Massachusetts Institute of Technology","Standard/Unranked/Unknown"
"3997","Morehouse School of Medicine","Standard/Unranked/Unknown"
"3998","Keck School of Medicine of University of Southern California","Standard/Unranked/Unknown"
"3999","St Jude Children's Research Hospital","Standard/Unranked/Unknown"
"4000","National Heart, Lung and Blood Institute, National Institutes of Health","Standard/Unranked/Unknown"
"4001","Joslin Diabetes Center","Standard/Unranked/Unknown"
"4002","Institut Pasteur de Montevideo","Standard/Unranked/Unknown"
"4003","Brigham and Womens Hospital and Harvard Medical School","Standard/Unranked/Unknown"
"4004","N/A","Standard/Unranked/Unknown"
"4005","Universidade Federal de Santa Catarina","Standard/Unranked/Unknown"
"4006","Université Paul sabatier /IRD","Standard/Unranked/Unknown"
"4007","Ineco","Standard/Unranked/Unknown"
"4008","Rijksuniversiteit Groingen","Standard/Unranked/Unknown"
"4009","Leibniz Institute for New Materials","Standard/Unranked/Unknown"
"4010","Bharathiar University","Standard/Unranked/Unknown"
"4011","LAAS - CNRS","Standard/Unranked/Unknown"
"4012","CEA - Université Paris-Saclay","Standard/Unranked/Unknown"
"4013","Georgia Regents University (Previously Medical College of Georgia)","Standard/Unranked/Unknown"
"4014","Barretos School of Health Sciences, Dr. Paulo Prata ­","Standard/Unranked/Unknown"
"4015","National Institute of pharmaceutical Education and Research (NIPER)","Standard/Unranked/Unknown"
"4016","National Brain Research Centre","Standard/Unranked/Unknown"
"4017","Florey Institute of Neuroscience and Mental Health","Standard/Unranked/Unknown"
"4018","Phillips University Marburg","Standard/Unranked/Unknown"
"4019","Faculty of Medicine of Ribeirão Preto","Standard/Unranked/Unknown"
"4020","Parmenides Foundation","Standard/Unranked/Unknown"
"4021","Universidade Estadual do Norte Fluminense Darcy Ribeiro","Standard/Unranked/Unknown"
"4022","Universidad de  Buenos Aires","Standard/Unranked/Unknown"
"4023","Hospital Universitario Ntra Sra de Candelaria","Standard/Unranked/Unknown"
"4024","Queensland Brain Institute","Standard/Unranked/Unknown"
"4025","CNRS - Univ Paris Diderot","Standard/Unranked/Unknown"
"4026","CNRS/Université de Strasbourg","Standard/Unranked/Unknown"
"4027","Unaffiliated","Standard/Unranked/Unknown"
"4028","Leibniz Institute for Zoo and Wildlife Research","Standard/Unranked/Unknown"
"4029","University of Tennessee Health Science Center","Standard/Unranked/Unknown"
"4030","HHMI, National Jewish Health","Standard/Unranked/Unknown"
"4031","International Centre for Genetic Engineering and Biotechnology (ICGEB)","Standard/Unranked/Unknown"
"4032","Second Affiliated Hospital, Nanchang  University, Nanchang 330006 China","Standard/Unranked/Unknown"
"4033","University of Sri Jayewardenepura","Standard/Unranked/Unknown"
"4034","German Centre for Neurodegenerative Diseases (DZNE)","Standard/Unranked/Unknown"
"4035","Inserm","Standard/Unranked/Unknown"
"4036","Universität Regensburg","Standard/Unranked/Unknown"
"4037","Univeristy of Wisconsin-Madison","Standard/Unranked/Unknown"
"4038","Institute for Advanced Study, TU München","Standard/Unranked/Unknown"
"4039","Institute of Population Genetics, Vetmeduni Vienna","Standard/Unranked/Unknown"
"4040","MRC","Standard/Unranked/Unknown"
"4041","Herlev Hospital","Standard/Unranked/Unknown"
"4042","Oxitec Ltd","Standard/Unranked/Unknown"
"4043","Cleveland Clinic Foundation","Standard/Unranked/Unknown"
"4044","University of Chieti Pescara ""G. D'Annunzio""","Standard/Unranked/Unknown"
"4045","Centro Regional de Investigaciones Científicas y Transferencia Tecnológica de La Rioja (CRILAR-CONICET)","Standard/Unranked/Unknown"
"4046","Brigham and Women's Hospital / Harvard Medical School","Standard/Unranked/Unknown"
"4047","BIDMC/Harvard Medical School","Standard/Unranked/Unknown"
"4048","NERC Centre for Ecology & Hydrology","Standard/Unranked/Unknown"
"4049","Hutchison-MRC Cancer Cell Unit","Standard/Unranked/Unknown"
"4050","MPI for Developmental Biology","Standard/Unranked/Unknown"
"4051","Hampshire College","Standard/Unranked/Unknown"
"4052","Faculty of Medicine of the TU Dresden","Standard/Unranked/Unknown"
"4053","Ludwig-Maximilians University Munich","Standard/Unranked/Unknown"
"4054","IISc","Standard/Unranked/Unknown"
"4055","Boston Children's Hospital and Dana Farber Cancer Institute","Standard/Unranked/Unknown"
"4056","Sage Bionetworks","Standard/Unranked/Unknown"
"4057","Moores cancer center of University of California, San Diego","Standard/Unranked/Unknown"
"4058","Instituto Gulbenkian de Ciencia","Standard/Unranked/Unknown"
"4059","INSERM U823","Standard/Unranked/Unknown"
"4060","Foshan Gaoming People's hospital Affiliated of Guangdong Medical College","Standard/Unranked/Unknown"
"4061","Zhengzhou University","Standard/Unranked/Unknown"
"4062","Rural Development Trust","Standard/Unranked/Unknown"
"4063","Penn State University College of Medicine","Standard/Unranked/Unknown"
"4064","Medimark Corporation","Standard/Unranked/Unknown"
"4065","University Medical Center Eppendorf","Standard/Unranked/Unknown"
"4066","Blizard Institute","Standard/Unranked/Unknown"
"4067","Center for Molecular Medicine, University of British Columbia","Standard/Unranked/Unknown"
"4068","Sanford Burnham Medical Research Institute","Standard/Unranked/Unknown"
"4069","Universidad Nacional Autónoma de México","Standard/Unranked/Unknown"
"4070","MPI-EVA","Standard/Unranked/Unknown"
"4071","German Center for Neurodegenerative Diseases (DZNE)","Standard/Unranked/Unknown"
"4072","Intituto Gulbenkian de Ciencia","Standard/Unranked/Unknown"
"4073","M. University","Standard/Unranked/Unknown"
"4074","College of Biomedical Engineering","Standard/Unranked/Unknown"
"4075","New York State Psychiatric Institute","Standard/Unranked/Unknown"
"4076","G.N Khalsa College","Standard/Unranked/Unknown"
"4077","Kharkiv National University of Radio Electronics","Standard/Unranked/Unknown"
"4078","State Key Laboratory of Medical Genetics","Standard/Unranked/Unknown"
"4079","HHMI/Janelia Farm Research Campus","Standard/Unranked/Unknown"
"4080","Light White Innovation Technology","Standard/Unranked/Unknown"
"4081","Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"4082","Institute Pasteur","Standard/Unranked/Unknown"
"4083","Technische Universitaet Darmstadt","Standard/Unranked/Unknown"
"4084","lbnl","Standard/Unranked/Unknown"
"4085","Viborg Hospital","Standard/Unranked/Unknown"
"4086","Weatherall Institute of Molecular Medicine","Standard/Unranked/Unknown"
"4087","AstraZeneca","Standard/Unranked/Unknown"
"4088","Sanford Burnham Medical Research Insitute","Standard/Unranked/Unknown"
"4089","Crucell Vaccine Institute","Standard/Unranked/Unknown"
"4090","IIT Kanpur","Standard/Unranked/Unknown"
"4091","CIRAD","Standard/Unranked/Unknown"
"4092","CNB-CSIC","Standard/Unranked/Unknown"
"4093","Friedrich Schiller Universität Jena","Standard/Unranked/Unknown"
"4094","CNRS, INSERM, Université de Montpellier","Standard/Unranked/Unknown"
"4095","Intercollegiate Faculty of Biotechnology University of Gdańsk - Medical University of Gdańsk","Standard/Unranked/Unknown"
"4096","Qingdao Institute of BioEnergy and Bioprocess Technology, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"4097","IISER Pune","Standard/Unranked/Unknown"
"4098","CSIR- Intitute of Microbial Technology","Standard/Unranked/Unknown"
"4099","Seattle Biomedical Research Institute","Standard/Unranked/Unknown"
"4100","MIMS","Standard/Unranked/Unknown"
"4101","University of Ljubljana, Faculty of Chemistry and Chemical Technology","Standard/Unranked/Unknown"
"4102","PGIMER","Standard/Unranked/Unknown"
"4103","National Agri-Food Biotechnology Institute","Standard/Unranked/Unknown"
"4104","Institute for Drug Research","Standard/Unranked/Unknown"
"4105","INSERM, U1028, CNRS UMR5292, Lyon Neuroscience Research Center","Standard/Unranked/Unknown"
"4106","Benaroya Research Institute","Standard/Unranked/Unknown"
"4107","Gregor Mendel Institute of Molecular Plant Biology","Standard/Unranked/Unknown"
